partner_name,friendly_name,data_type,field_values,default_data_mapping,created_at,attribution_model
Destination_Phone_Number,(Destination) Phone Number,Short Text,[],,2022-03-30T13:14:26-05:00,Last
End_of_Call_Reason,(End) of Call Reason,Short Text,[],,2022-03-29T17:30:58-05:00,Last
IVR_Keypresses,(IVR) Keypresses,Short Text,[],,2022-03-29T17:31:15-05:00,Last
Repeat_Caller,(Repeat) Caller,Short Text,[],,2022-03-29T17:31:44-05:00,Last
mc_id,Adobe Experience Cloud ID,Short Text,[],,2022-03-29T17:32:12-05:00,Last
Agent,Agent,Category,[],,2022-03-29T17:29:08-05:00,Last
ai_agent_id,AI Agent ID,Category,[],,2026-07-07T18:43:25-05:00,Last
voice_ai_agent_name,AI Agent Name,Short Text,[],,2026-07-07T18:43:26-05:00,Last
voice_ai_agent_qualification_status,AI Agent Qualification Status,Short Text,[],,2026-07-07T18:43:26-05:00,Last
ai_agent_segment,AI Agent Segment,Category,[],,2026-08-04T17:48:06-05:00,Last
voice_ai_agent_summary,AI Agent Summary,Long Text,[],,2026-07-07T18:43:26-05:00,Last
ai_agent_workflow_id,AI Agent Workflow ID,Category,[],,2026-08-19T12:40:19-05:00,Last
appointment_action,Appointment Action,Short Text,[],,2026-07-07T20:56:04-05:00,Last
appointment_scheduled,Appointment Scheduled,Short Text,"[""true, false""]",,2026-07-28T11:51:37-05:00,Last
appointment_status,Appointment Status,Short Text,[],,2026-07-27T13:20:06-05:00,Last
Area,Area,Short Text,[],,2024-06-06T07:52:24-05:00,Last
AudienceDemographic,Audience Demographic,Short Text,[],,2025-12-04T08:35:16-06:00,Last
Batch_ID,Batch ID (SFMC),Short Text,[],,2023-08-14T21:47:25-05:00,Last
billing_reason,Billing Reason,Short Text,[],,2026-07-07T21:00:29-05:00,Last
call_intent,Call Intent,Short Text,[],,2026-07-27T18:32:20-05:00,Last
call_outcome,Call Outcome,Short Text,"[""completed, partially_completed, transferred, abandoned, agent_failure""]",,2026-07-28T11:52:26-05:00,Last
call_type,Call Type,Category,[],,2022-03-29T17:19:56-05:00,Last
callback_number,Callback Number,Short Text,[],,2026-07-07T21:22:35-05:00,Last
calling_page,Calling Page,Long Text,[],,2022-03-31T17:39:57-05:00,Last
consumer_name,Consumer Name,Short Text,[],,2026-01-30T09:25:37-06:00,Last
consumer_zip,Consumer Zip,Short Text,[],,2026-07-07T21:01:37-05:00,Last
converting_url,Converting URL,Short Text,[],,2026-08-01T17:43:12-05:00,Last
date_of_birth,Date of Birth,Short Text,[],,2026-07-07T20:55:04-05:00,Last
Demo,Demo,Short Text,[],,2024-06-06T08:53:35-05:00,Last
invoca_detected_destination,Detected Destination,Short Text,[],,2022-03-29T17:19:55-05:00,Unique
Division,Division,Category,[],,2022-03-29T17:28:35-05:00,Last
existing_appointment_time,Existing Appointment Time,Short Text,[],,2026-07-27T13:20:22-05:00,Last
Facility,Facility,Category,[],,2022-03-29T17:29:27-05:00,Last
FacilityAddress,Facility Address,Short Text,[],,2022-03-29T17:33:36-05:00,Last
FacilityCity,Facility City,Short Text,[],,2025-06-17T23:13:45-05:00,Last
FacilityPhone,Facility Phone,Short Text,[],,2022-03-29T17:34:28-05:00,Last
FacilityState,Facility State,Short Text,[],,2024-06-06T07:29:03-05:00,Last
FacilityType,Facility Type,Short Text,[],,2025-03-31T11:37:10-05:00,Last
FacilityWebsite,Facility Website,Long Text,[],,2024-02-28T20:55:55-06:00,Last
FacilityZip,Facility Zip,Short Text,[],,2025-06-17T23:14:12-05:00,Last
Amount,Fee,Short Text,[],,2022-03-29T17:32:37-05:00,Last
first_interaction_type,First Interaction Type,Short Text,[],,2026-04-14T18:43:36-05:00,First
landing_page,Full Landing Page URL,Long Text,[],,2022-03-29T17:19:56-05:00,First
GeoLocation,Geo Location,Short Text,[],,2025-12-04T08:35:43-06:00,Last
customer_id,Google Ads Customer ID,Short Text,[],,2025-02-04T16:02:24-06:00,Last
g_cid,Google Analytics Client ID,Short Text,[],,2022-03-29T17:19:56-05:00,Last
gclid,Google Click ID,Short Text,[],,2022-03-29T17:19:56-05:00,Last
gbraid,Google GBRAID,Short Text,[],,2025-02-04T16:02:24-06:00,Last
wbraid,Google WBRAID,Short Text,[],,2025-02-04T16:02:24-06:00,Last
handled_by,Handled By,Short Text,[],,2026-08-01T18:01:10-05:00,Last
insurance_carrier,Insurance Carrier,Short Text,[],,2026-07-07T19:47:31-05:00,Last
interaction_id,Interaction ID,Short Text,[],,2026-08-01T18:24:17-05:00,Last
interaction_type,Interaction Type,Short Text,[],,2026-08-01T18:00:23-05:00,Last
invoca_id,Invoca Unique ID,Short Text,[],,2022-03-29T17:19:55-05:00,Unique
IPAddress,IP Address,Short Text,[],,2025-12-04T08:36:08-06:00,Last
Job_ID,Job ID (SFMC),Short Text,[],,2023-08-14T21:47:50-05:00,Last
lead_score,Lead Score,Short Text,"[""Low, Medium, High""]",,2026-07-27T18:30:26-05:00,Last
LOB,Line of Business,Category,[],,2022-03-29T17:29:44-05:00,Last
List_ID,List ID (SFMC),Short Text,[],,2023-08-14T21:47:03-05:00,Last
utm_campaign,Marketing Campaign,Category,[],,2022-03-29T17:19:55-05:00,Last
utm_medium,Marketing Medium,Category,[],,2022-03-29T17:19:55-05:00,Last
utm_term,Marketing Search Terms,Category,[],,2022-03-29T17:19:55-05:00,Last
utm_source,Marketing Source,Category,[],,2022-03-29T17:19:55-05:00,Last
CID_Masked,Masked Caller ID,Short Text,[],,2023-08-17T22:17:43-05:00,Last
medicare_status,Medicare Status,Short Text,[],,2026-07-07T19:46:59-05:00,Last
meeting_id,Meeting,Short Text,[],,2026-07-27T13:20:34-05:00,Last
member_id,Member ID,Short Text,[],,2026-07-07T20:55:27-05:00,Last
msclkid,Microsoft Ads Click ID,Short Text,[],,2022-03-29T17:19:56-05:00,Last
Network,Network,Short Text,[],,2025-12-04T08:36:30-06:00,Last
not_completed_reason,Not Completed Reason,Short Text,"[""callback_requested, caller_will_call_back, identity_verification_failed, caller_disconnected, wrong_department, clinical_escalation, no_availability, slot_taken, offered_times_declined, appointment_not_found, service_not_offered, insurance_not_accepted""]",,2026-07-29T10:55:04-05:00,Last
patient_email,Patient Email,Short Text,[],,2026-07-27T19:25:47-05:00,Last
patient_first_name,Patient First Name,Short Text,[],,2026-07-27T18:33:26-05:00,Last
patient_last_name,Patient Last Name,Short Text,[],,2026-07-28T21:22:30-05:00,Last
patient_type,Patient Type,Short Text,[],,2026-07-27T13:16:11-05:00,Last
PiwikVisitorID,Piwik Visitor ID,Short Text,[],,2025-12-04T08:36:50-06:00,Last
Placement,Placement,Short Text,[],,2025-12-04T08:37:07-06:00,Last
Postal,Postal,Short Text,[],,2022-03-29T17:34:57-05:00,Last
preferred_time,Preferred Day or Time,Short Text,[],,2026-07-07T20:56:29-05:00,Last
preferred_physician,Preferred Physician,Short Text,[],,2026-07-08T11:36:23-05:00,Last
Override_Routing,Priority Routing Phone Number,Short Text,[],,2022-03-30T13:28:16-05:00,Last
provider_type,Provider Type,Short Text,[],,2026-07-07T20:05:25-05:00,Last
Province,Province,Short Text,[],,2022-03-29T17:35:10-05:00,Last
reason_call,Reason for Call,Short Text,[],,2026-07-07T21:26:26-05:00,Last
reason_for_visit,Reason For Visit,Short Text,[],,2026-07-27T13:15:41-05:00,Last
Region,Region,Short Text,[],,2024-06-06T07:51:54-05:00,Last
revenue,Revenue,Short Text,[],,2026-08-01T20:00:03-05:00,Last
rollout_phase,Rollout Phase,Short Text,[],,2026-08-01T17:58:13-05:00,Last
RTR_Destination,RTR_Destination,Short Text,[],,2022-04-28T14:59:09-05:00,Last
gclsrc,SA360,Short Text,[],,2022-03-29T17:36:15-05:00,Last
ShowGenre,Show Genre,Short Text,[],,2025-12-04T08:38:59-06:00,Last
sms_scheduled_callback_datetime,SMS Scheduled Callback Datetime,Short Text,[],,2026-07-13T15:11:40-05:00,Last
sms_session_status,SMS Session Status,Short Text,[],,2026-01-30T09:25:37-06:00,Last
Specialty,Specialty,Category,[],,2022-03-29T17:28:57-05:00,Last
specialty_needed,Specialty Needed,Short Text,[],,2026-07-27T18:08:02-05:00,Last
StreamingService,Streaming Service,Short Text,[],,2025-12-04T08:38:43-06:00,Last
Territory,Territory,Short Text,[],,2024-06-06T07:52:36-05:00,Last
user_agent,User Agent,Short Text,[],,2026-08-01T18:56:41-05:00,Last
Website_Journey,Website Journey,Long Text,[],,2022-03-30T13:16:57-05:00,Multi
Language,Website Language,Short Text,[],,2022-03-30T13:33:10-05:00,Last
