partner_name,friendly_name,data_type,field_values,default_data_mapping,created_at,attribution_model
Destination_Phone_Number,(Destination) Phone Number,Short Text,[],,2020-09-23T09:39:01-04:00,Last
End_of_Call_Reason,(End) of Call Reason,Short Text,[],,2020-09-23T09:39:49-04:00,Last
Keypress,(IVR) Keypresses,Short Text,[],,2020-09-23T09:40:23-04:00,Last
Repeat_Caller,(Repeat) Caller,Short Text,[],,2020-09-23T09:41:37-04:00,Last
call_treatment_ab_test_path,A-B Test Path,Short Text,[],,2026-05-27T12:22:26-04:00,Last
account_id,Account ID,Short Text,[],,2021-06-22T11:59:25-04:00,Last
account_identifier,Account Identifier,Short Text,[],,2026-06-25T09:42:43-04:00,Last
AdWords_Ad,AdWords Ad,Short Text,[],,2023-05-12T10:37:30-04:00,Last
AdWords_Ad_Group,AdWords Ad Group,Short Text,[],,2023-05-12T10:37:49-04:00,Last
AdWords_Keyword_Match_Type,AdWords Keyword Match Type,Short Text,[],,2023-05-12T10:38:26-04:00,Last
agent,Agent,Category,[],,2021-01-22T15:35:29-05:00,Last
ai_agent_id,AI Agent ID,Category,[],,2026-04-29T17:29:52-04:00,Last
voice_ai_agent_name,AI Agent Name,Short Text,[],,2026-04-29T17:29:52-04:00,Last
voice_ai_agent_qualification_status,AI Agent Qualification Status,Short Text,[],,2026-04-29T17:29:52-04:00,Last
ai_agent_segment,AI Agent Segment,Category,[],,2026-08-04T18:48:05-04:00,Last
voice_ai_agent_summary,AI Agent Summary,Long Text,[],,2026-04-29T17:29:52-04:00,Last
ai_agent_workflow_id,AI Agent Workflow ID,Category,[],,2026-08-19T13:40:17-04:00,Last
Amount,Amount,Short Text,[],,2020-09-23T09:34:52-04:00,Last
annual_billing_amount,Annual Billing Amount,Short Text,[],,2026-06-25T15:33:34-04:00,Last
attributon_data_ibrahim_test,Attribution Data,Category,"[""1456 Everall Street, 12345""]",,2026-05-19T16:43:08-04:00,Last
call_direction,Call Direction,Short Text,[],,2022-07-25T17:05:43-04:00,Last
transcript_summary,Call Summary,Long Text,[],,2024-01-30T17:03:37-05:00,Last
callerAddress,Caller Address ECP,Short Text,[],,2024-02-09T00:04:09-05:00,Last
calling_page,Calling Page,Category,[],,2021-01-22T15:37:05-05:00,Last
consumer_email,Consumer Email,Short Text,[],,2026-02-11T19:39:29-05:00,Last
consumer_first_name,Consumer First Name,Short Text,[],,2026-02-11T19:38:53-05:00,Last
consumer_last_name,Consumer Last Name,Short Text,[],,2026-02-11T19:39:10-05:00,Last
consumer_name,Consumer Name,Short Text,[],,2025-10-16T13:50:31-04:00,Last
contracts_lined_up,Contracts Lined Up,Short Text,[],,2026-06-25T15:34:03-04:00,Last
Current_Customer_Cookie,Current Customer,Short Text,[],,2020-09-23T09:36:09-04:00,Last
Decibel_Insight_ID,Decibel Insight ID,Short Text,[],,2020-09-23T09:36:41-04:00,Last
decibel_session_id,Decibel Session ID,Short Text,[],,2025-02-05T19:51:43-05:00,Last
DEMO,DEMO,Short Text,[],,2025-06-13T10:31:24-04:00,Last
Destination_numbers,Destination Numbers,Short Text,[],Destination Phone Number,2020-09-23T09:44:56-04:00,Last
