Call Count,Called Phone Number,Start Time Min,Start Time Max,Total Duration,Call Start Time,Region,City,Phone Line,Location,Marketing Source,Marketing Medium,Marketing Campaign,Marketing Search Terms,Google Click ID,Google GBRAID,Google Ads Customer ID,Google Analytics Session ID,Google Analytics Client ID,Google Analytics Measurement ID,Google WBRAID,Connected Duration,Total IVR Duration,Landing page,Calling Page,New Sales Call,Serviceable area,New Service Activation,Call Not Answered by Agent,ID name,Audio URL
1,833-474-0582,11/7/25 1:41,11/7/25 1:51,0:10:41,11/7/25 1:41,West,Broomfield,Mobile,Centura Mall,Google Ad,Paid Search,tv_internet_bundle_fall_promo,wifi extender home plan,40P3rNup7RhtF4zCwbE6,#NAME?,RB3Ud7TPXuSN,Q08fM3C0SegPE5KkgN,eTzCc38rXfr9MKlK,4yIafPvzXx8ZXF,__,0:10:31,0:00:10,www.itelecomservices.com/packages/bundle,www.itelecomservices.com/contact-us,0,0,0,1,4XGWAV8,https://raw.githubusercontent.com/djuengstGH/Telecom-demo-calls/main/4XGWAV8.mp3
1,833-474-0582,11/15/25 21:38,11/15/25 21:44,0:06:09,11/15/25 21:41,Central,Agawam,Mobile,Springfield,Postcard,Direct Mail,student_internet_deal_fall_promo,__,__,__,__,__,__,__,__,0:05:45,0:00:24,__,__,1,1,1,0,4CKWFV8,https://raw.githubusercontent.com/djuengstGH/Telecom-demo-calls/main/4CKWFV8.mp3
1,833-474-0582,11/6/25 17:57,11/6/25 18:09,0:12:33,11/6/25 18:08,South,Richmond,Mobile,Richmond,Google Ad,Paid Search,no_contract_internet_nov_2025,who provides internet at my address,MAP5q9EAuMuQgoNvjCR0GMAX,1aNFrjYgisOgAO1542pCp1NE,WMKPnwV6BONk,BxZcXE3oKd4MLHVc-,PbURM9OLbRV4VvBIe,M7fWrqoN2U,__,0:12:10,0:00:23,www.itelecomservices.com/contact-us,www.itelecomservices.com/internet,1,1,1,0,HH8XVSJ,https://raw.githubusercontent.com/djuengstGH/Telecom-demo-calls/main/HH8XVSJ.mp3
1,833-474-0582,11/8/25 12:39,11/8/25 12:39,0:01:34,11/8/25 12:39,West,Denver,Mobile,Centura Mall,Google Ad,Paid Search,streaming_tv_package_nov_2025,internet no contract,SS9VZnjFuD5_7B9hoc82rYF,kIzvv0U8Qcy29-OX5Dac0,HZOc_BI2G_N,Pq3u4ZYHuLgs,EYeMWxyFeKUGdC4cExRvxE,mbQRqCd1sh,__,0:01:16,0:00:18,www.itelecomservices.com/Phone,www.itelecomservices.com/packages,0,0,0,0,4Q72PXE,https://raw.githubusercontent.com/djuengstGH/Telecom-demo-calls/main/4Q72PXE.mp3
1,833-474-0582,11/13/25 8:31,11/13/25 8:37,0:06:00,11/13/25 8:36,South,Durham,Mobile,Raleigh Park,Google Ad,Paid Search,low_price_guarantee_fall_promo,fiber internet providers near me,k_dI67nCmoKuQ8RTl0k03Z,oK71iF7UIfCi6pPP-qaB,bUotuCGyVN,5Mk438oIt6n9QJR5kcL,77-T0uKYGLb0piBV6,P150Q6HGp2Wc1,__,0:05:41,0:00:19,www.itelecomservices.com/Phone,www.itelecomservices.com/packages/bundle,0,0,0,0,BNE5RVM,https://raw.githubusercontent.com/djuengstGH/Telecom-demo-calls/main/BNE5RVM.mp3
1,833-474-0582,11/14/25 9:46,11/14/25 9:49,0:02:35,11/14/25 9:48,West,Boulder,Mobile,Centura Mall,Facebook Ad,Paid Social,fiber_1gig_launch_q4_2025,__,__,__,__,__,UCawFVKbGQErcFffu,JISVYIqJWe3YZp,__,0:02:14,0:00:21,www.itelecomservices.com/,www.itelecomservices.com/packages/bundle,0,0,0,0,85GQERJ,https://raw.githubusercontent.com/djuengstGH/Telecom-demo-calls/main/85GQERJ.mp3
1,833-474-0582,11/12/25 12:54,11/12/25 12:55,0:02:52,11/12/25 12:54,West,Broomfield,Mobile,Indian Peaks,Postcard,Direct Mail,no_contract_internet_nonbrand,__,__,__,__,__,__,__,__,0:02:35,0:00:17,__,__,1,1,1,0,QNDHGE9,https://raw.githubusercontent.com/djuengstGH/Telecom-demo-calls/main/QNDHGE9.mp3
1,833-474-0582,11/8/25 15:47,11/8/25 15:53,0:06:28,11/8/25 15:53,East,Boston,Mobile,Boston,Facebook Ad,Paid Social,wifi_dead_zone_fix_always_on,__,__,__,__,__,hovkF4TXU3rZFR,n0GVwiQ3ZEse,__,0:06:08,0:00:20,www.itelecomservices.com/packages/bundle,www.itelecomservices.com/internet,0,0,0,1,BPA7NAM,https://raw.githubusercontent.com/djuengstGH/Telecom-demo-calls/main/BPA7NAM.mp3
1,833-474-0582,11/15/25 12:46,11/15/25 12:48,0:02:16,11/15/25 12:47,Central,Holyoke,Mobile,Springfield,Postcard,Direct Mail,unlimited_home_phone_prospecting,__,__,__,__,__,__,__,__,0:01:53,0:00:23,__,__,0,0,0,1,CFTDZVC,https://raw.githubusercontent.com/djuengstGH/Telecom-demo-calls/main/CFTDZVC.mp3
1,833-474-0582,11/3/25 1:02,11/3/25 1:14,0:12:07,11/3/25 1:03,South,Chesapeake,Mobile,Raleigh Park,Bing Ad,Paid Search,triple_play_bundle_brand,__,__,__,__,__,6MY0cW8bfBNU84fkKl2pOa,SVu7e6R8zuQ_U,__,0:11:53,0:00:14,www.itelecomservices.com/TV,www.itelecomservices.com/internet,0,0,0,0,UQEKUV4,https://raw.githubusercontent.com/djuengstGH/Telecom-demo-calls/main/UQEKUV4.mp3
